Vernier Format 2
Y-M1-T1.cmbl 10/2/17 3:38 PM .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

0	0.760774	0.30527	-2.70125203704
0.05	0.779296	0.1946525	-3.33340421296
0.1	0.7890715	0.00863216666667	-4.04616138889
0.15	0.7839265	-0.240385833333	-4.16577734568
0.2	0.762832	-0.459905833333	-3.22884743827
0.25	0.7338485	-0.588245	-1.65225429012
0.3	0.7005775	-0.627594722222	0.0768574074074
0.35	0.6676495	-0.577859722222	1.74141311728
0.4	0.639352	-0.443803888889	3.1382912037
0.45	0.620487	-0.243815833333	4.04671188272
0.5	0.6137985	-0.0127672222222	4.33323333333
0.55	0.619801	0.209801666667	4.07529521605
0.6	0.635236	0.4141725	3.29549953704
0.65	0.6631905	0.565473611111	1.92561682099
0.7	0.695947	0.621401666667	0.209399382716
0.75	0.7290465	0.584529166667	-1.50877654321
0.8	0.7575155	0.464098055556	-3.04465432099
0.85	0.7787815	0.265443888889	-4.16617962963
0.9	0.786499	0.0141963888889	-4.51838981481
0.95	0.779296	-0.221520833333	-4.06915509259
1	0.762146	-0.410456666667	-3.12722839506
1.05	0.736078	-0.542225833333	-1.89544552469
1.1	0.7060655	-0.615494444444	-0.322938734568
1.15	0.670222	-0.588149722222	1.48633333333
1.2	0.642439	-0.452378888889	2.99235740741
1.25	0.623231	-0.263728888889	3.93428410494
1.3	0.614656	-0.0385875	4.3304279321
1.35	0.6189435	0.193509166667	4.11562947531
1.4	0.635236	0.397117777778	3.30523904321
1.45	0.660961	0.542988055556	2.00819089506
1.5	0.6923455	0.614255833333	0.341412037037
1.55	0.726817	0.581861388889	-1.41259891975
1.6	0.7544285	0.456856944444	-2.8296441358
1.65	0.7743225	0.278973333333	-3.78199845679
1.7	0.783755	0.0630738888889	-4.2876587963
1.75	0.7815255	-0.170833055556	-4.22376975309
1.8	0.7664335	-0.391210555556	-3.41851373457
1.85	0.739508	-0.543464444444	-1.94324320988
1.9	0.707266	-0.590055277778	-0.298748765432
1.95	0.677768	-0.561281388889	1.16360632716
2	0.649299	-0.473816388889	2.5596375
2.05	0.6264895	-0.300410833333	3.7515095679
2.1	0.6168855	-0.07203	4.33302160494
2.15	0.6192865	0.161972222222	4.20852530864
2.2	0.6336925	0.376823611111	3.38918935185
2.25	0.6597605	0.52479	2.00056867284
2.3	0.689773	0.586244166667	0.361473302469
2.35	0.7218435	0.5599475	-1.2689941358
2.4	0.749112	0.450282777778	-2.66830709877
2.45	0.7695205	0.275829166667	-3.64066975309
2.5	0.778267	0.0631691666667	-4.06507932099
2.55	0.7756945	-0.151872777778	-3.94751712963
2.6	0.7623175	-0.347478055556	-3.35769475309
2.65	0.7403655	-0.514595277778	-2.14756111111
2.7	0.7067515	-0.588149722222	-0.402495679012
2.75	0.6765675	-0.549562222222	1.28090385802
2.8	0.6494705	-0.4433275	2.61675123457
2.85	0.629748	-0.274114166667	3.57630432099
2.9	0.620487	-0.0666944444444	4.03755462963
2.95	0.622545	0.152158611111	3.93248441358
3	0.636265	0.354338055556	3.17730216049
3.05	0.660961	0.488584444444	1.96748611111
3.1	0.687715	0.557756111111	0.556263425926
3.15	0.7201285	0.543845555556	-0.892488117284
3.2	0.7441385	0.468957222222	-2.32843009259
3.25	0.770378	0.312225277778	-3.67639891975
3.3	0.7791245	0.0761269444444	-4.40257438272
3.35	0.77861	-0.173119722222	-4.14209552469
3.4	0.759402	-0.373393611111	-3.07302592593
3.45	0.7372785	-0.485630833333	-1.76581481481
3.5	0.709324	-0.547561388889	-0.43901882716
3.55	0.6796545	-0.535556388889	0.98014367284
3.6	0.6525575	-0.447519722222	2.32027854938
3.65	0.632149	-0.291645277778	3.37690910494
3.7	0.6216875	-0.0914666666667	3.97250108025
3.75	0.622202	0.127386388889	4.00320169753
3.8	0.63455	0.337569166667	3.352825
3.85	0.65856	0.488393888889	2.10304521605
3.9	0.6868575	0.556803333333	0.591516203704
3.95	0.7170415	0.549562222222	-0.97453287037
4	0.7455105	0.454379722222	-2.39443641975
4.05	0.765233	0.291168888889	-3.3657404321
4.1	0.775866	0.0968975	-3.83567160494
4.15	0.7756945	-0.116334166667	-3.75193302469
4.2	0.761803	-0.286500277778	-3.34186805556
4.25	0.748426	-0.464479166667	-2.51951496914
4.3	0.713097	-0.581575555556	-0.860305401235
4.35	0.683256	-0.555469444444	0.934939660494
4.4	0.655473	-0.465146111111	2.31726141975
4.45	0.6343785	-0.310033888889	3.32678240741
4.5	0.6227165	-0.114809722222	3.86097314815
4.55	0.622202	0.0973738888889	3.86388441358
4.6	0.6330065	0.295075277778	3.29205895062
4.65	0.6535865	0.446948055556	2.22367746914
4.7	0.680512	0.529935	0.838444444444
4.75	0.709667	0.535270555556	-0.661280709877
