Vernier Format 2
1_500g.cmbl 11/20/17 3:47 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	10.9180040986	3.11681328767
0.05	0.541052068118	11.0586000661	3.62209687976
0.1	1.09955742876	11.2341026187	4.39402799646
0.15	1.65806278939	11.5094767895	4.98873277862
0.2	2.25147473507	11.7906687246	4.64720847437
0.25	2.84488668075	11.9458091025	4.69946061556
0.3	3.43829862643	12.2270010376	5.25214821202
0.35	4.06661715715	12.5178892462	5.07977001429
0.4	4.69493568786	12.7409035396	4.82658953638
0.45	5.3407075111	12.9639178329	5.07977001429
0.5	5.98647933434	13.2548060415	5.24676139334
0.55	6.66715774262	13.5359979766	4.67575861337
0.6	7.3478361509	13.6911383545	4.55724860243
0.65	8.02851455917	13.962634016	4.9235522726
0.7	8.74409955249	14.2341296774	4.55724860243
0.75	9.45968454581	14.3892700553	4.67037179469
0.8	10.1752695391	14.6704619904	5.20905366259
0.85	10.9257611175	14.961350199	4.90200499789
0.9	11.6762526958	15.1746682187	4.3848704047
0.95	12.4441975667	15.3685936912	4.4118044981
1	13.2121424376	15.5819117109	5.0528359209
1.05	13.997540601	15.8824961931	5.53764960201
1.1	14.8003920569	16.1830806754	5.19289320655
1.15	15.6206968053	16.4060949687	4.70807952544
1.2	16.4410015538	16.6194129884	4.75656089355
1.25	17.2787595947	16.8909086499	4.72423998148
1.3	18.1339709282	17.1042266695	4.52492769036
1.35	18.9891822617	17.3175446892	4.72423998148
1.4	19.8618468877	17.5890403507	4.75656089355
1.45	20.7519648062	17.8023583703	4.70807952544
1.5	21.6420827247	18.0253726637	5.19289320655
1.55	22.5496539358	18.3259571459	5.53764960201
1.6	23.4746784393	18.6265416282	5.0528359209
1.65	24.4171562354	18.8398596479	4.4118044981
1.7	25.3596340315	19.0337851204	4.3848704047
1.75	26.3195651201	19.24710314	4.90200499789
1.8	27.2794962087	19.5379913487	5.21444048127
1.85	28.2743338823	19.8191832838	4.70269270676
1.9	29.2691715559	19.9743236617	4.70807952544
1.95	30.2640092296	20.2555155968	5.24676139334
2	31.2937534883	20.5464038054	5.04744910222
2.05	32.3234977469	20.7694180987	4.67575861337
2.1	33.3706952981	20.9827361184	4.75117407487
2.15	34.4178928493	21.2542317798	4.72962680016
2.2	35.4999969856	21.4675497995	4.55724860243
2.25	36.5646478293	21.6808678192	4.86968408581
2.3	37.664205258	21.9620597543	5.04206228354
2.35	38.7637626868	22.1947703212	5.00974137147
2.4	39.8807734081	22.4759622562	4.68653225073
2.45	41.0152374219	22.6795840023	4.08320855868
2.5	42.1497014357	22.8638132011	3.91083036095
2.55	43.301618742	23.0480423999	4.22326584433
2.6	44.4535360483	23.2613604196	4.97203364071
2.65	45.6229066471	23.5619449019	5.31140321749
2.7	46.8097305385	23.8528331106	4.53570132771
2.75	48.0140077224	24.0370623094	3.4098562238
2.8	49.2182849062	24.1340250456	3.37753531173
2.85	50.4225620901	24.3182542445	4.35793631131
2.9	51.6442925665	24.5994461795	4.87507090449
2.95	52.8834763354	24.8709418409	4.33638903659
3	54.1401133969	25.0066896716	4.16939765754
3.05	55.3792971658	25.2200076913	5.0259018275
3.1	56.6533875197	25.5690735417	4.87507090449
3.15	57.9449311662	25.7726952878	3.67381033907
3.2	59.2364748127	25.8793542976	3.4098562238
3.25	60.5280184592	26.0538872228	4.24481311905
3.3	61.8370153982	26.3253828842	4.82658953638
3.35	63.1634656297	26.5580934512	4.96664682203
3.4	64.4899158612	26.8392853862	4.68114543205
3.45	65.8512726777	27.0429071323	4.07782174
3.5	67.1951762018	27.2271363311	3.8731226302
3.55	68.5739863109	27.4113655299	4.04011400925
3.6	69.9353431274	27.614987276	4.50338041564
3.65	71.331606529	27.8864829374	4.53031450903
3.7	72.7278699306	28.0901046835	4.18555811358
3.75	74.1415866247	28.2840301559	4.15862402018
3.8	75.5553033188	28.487651902	4.3848704047
3.85	76.9864733055	28.7494512898	4.2071053883
3.9	78.4350965846	28.9336804886	3.66303670172
3.95	79.8837198638	29.0597320457	4.00779309717
4	81.3323431429	29.3215314335	4.54647496507
4.05	82.8158730071	29.5833308213	4.00779309717
4.1	84.2994028713	29.7093823784	3.66303670172
4.15	85.7829327355	29.8936115772	4.20171856962
4.2	87.2839158922	30.155410965	4.34716267395
4.25	88.8023523415	30.3590327111	3.97008536642
4.3	90.3207887907	30.5432619099	3.67919715775
4.35	91.8566785325	30.7177948351	3.5660739655
4.4	93.3925682742	30.8923277603	3.68458397643
4.45	94.9459113085	31.0765569591	4.00240627849
4.5	96.4992543428	31.2801787052	4.49260677828
4.55	98.0700506696	31.5516743666	4.49260677828
4.6	99.6583002889	31.7552961127	4.00240627849
4.65	101.246549908	31.9395253115	3.68458397643
4.7	102.85225282	32.1140582367	3.56607396549
4.75	104.457955732	32.2885911619	3.67919715775
4.8	106.081111936	32.4728203607	3.96469854774
4.85	107.704268141	32.6764421068	4.30406812452
4.9	109.344877637	32.9382414946	3.98085900378
4.95	111.002940427	33.1127744198	3.00584482288
5	112.661003216	33.2000408824	2.72034343289
5.05	114.319066006	33.3454849867	3.23747802608
5.1	115.994582088	33.5200179119	3.96469854774
5.15	117.670098169	33.7333359316	4.74578725619
5.2	119.363067544	34.0242241403	4.83197635506
5.25	121.073490211	34.2860235281	3.71151806983
5.3	122.80136617	34.3829862643	2.84962708119
5.35	124.511788837	34.4799490005	3.53375305342
5.4	126.239664797	34.7320521147	4.35793631131
5.45	127.984994049	34.9938515025	3.93237763567
