Vernier Format 2
1_500g.cmbl 11/20/17 4:38 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	7.0782797442	2.69556406697
0.05	0.349065850399	7.20433130129	3.02523737012
0.1	0.715584993318	7.35365391507	3.55206823693
0.15	1.08210413624	7.54370087806	4.29006239595
0.2	1.46607657168	7.81519653949	4.44304804643
0.25	1.86750229963	8.01881828555	3.99486473234
0.3	2.26892802759	8.20304748437	3.68458397643
0.35	2.68780704807	8.37758040957	3.56607396549
0.4	3.10668606855	8.55211333477	3.68458397643
0.45	3.54301838155	8.73634253359	4.00779309717
0.5	3.97935069455	8.93996427966	4.53031450903
0.55	4.43313630007	9.21145994108	4.67575861337
0.6	4.9043751981	9.42477796077	4.47644632224
0.65	5.37561409614	9.63809598046	4.49799359696
0.7	5.8643062867	9.89989536826	4.05627446528
0.75	6.37045176978	10.0744282935	3.19438347664
0.8	6.87659725286	10.1713910297	3.18899665796
0.85	7.38274273594	10.3459239549	4.01856673453
0.9	7.90634151153	10.6077233427	4.31484176187
0.95	8.44739357965	10.8113450887	4.00240627849
1	8.98844564777	10.9955742876	3.85696217416
1.05	9.54695100841	11.1798034864	4.00779309717
1.1	10.105456369	11.3834252325	4.34716267395
1.15	10.6814150222	11.6452246203	4.16939765754
1.2	11.2748269679	11.8294538191	3.51759259738
1.25	11.8682389136	11.9458091025	3.71151806983
1.3	12.4616508592	12.1882159431	4.16939765754
1.35	13.08996939	12.3918376892	4.14246356415
1.4	13.7008346282	12.5954594352	4.13707674547
1.45	14.3466064514	12.8378662758	3.56068714682
1.5	14.9923782746	12.9445252856	3.19438347664
1.55	15.6381500979	13.1093619372	3.67919715775
1.6	16.3013752136	13.3032874096	4.34177585527
1.65	16.9646003294	13.5747830711	4.46567268489
1.7	17.6627320302	13.7784048171	4.02934037189
1.75	18.3434104385	13.962634016	3.83002808077
1.8	19.0589954318	14.1468632148	3.85157535548
1.85	19.7571271326	14.3407886872	3.98624582246
1.9	20.4901654184	14.5831955278	3.49604532267
1.95	21.2232037043	14.6898545376	3.03816573495
2	21.9562419901	14.8449949156	3.35598803701
2.05	22.7067335684	15.0195278408	3.85157535548
2.1	23.4572251468	15.2231495868	4.46028586621
2.15	24.2251700177	15.4946452483	4.4872199596
2.2	25.0105681811	15.6982669943	4.00240627849
2.25	25.7959663445	15.8824961931	3.68458397643
2.3	26.5988178004	16.0570291183	3.56607396549
2.35	27.4016692563	16.2315620435	3.68458397643
2.4	28.2219740047	16.4157912424	4.00240627849
2.45	29.0422787532	16.6194129884	4.4872199596
2.5	29.8800367941	16.8909086499	4.45489904753
2.55	30.7352481276	17.0945303959	3.81925444341
2.6	31.5904594611	17.2690633211	3.205157114
2.65	32.4631240871	17.4145074255	2.71495661421
2.7	33.3357887131	17.5017738881	3.00584482288
2.75	34.2084533391	17.6763068133	3.98085900378
2.8	35.0985712576	17.9381062011	4.30406812452
2.85	36.0061424686	18.1417279471	3.95931172906
2.9	36.9137136797	18.3259571459	3.641489427
2.95	37.8387381832	18.5004900711	3.38292213041
3	38.7637626868	18.6653267227	3.205157114
3.05	39.7062404829	18.8204671007	3.15128892721
3.1	40.6487182789	18.9368223841	3.81386762473
3.15	41.591196075	19.1986217719	4.47105950357
3.2	42.5685804561	19.4604211597	3.81386762473
3.25	43.5459648373	19.5767764432	3.15128892721
3.3	44.5233492184	19.7319168212	3.205157114
3.35	45.518186892	19.8967534727	3.38292213041
3.4	46.5130245656	20.0712863979	3.641489427
3.45	47.5253155318	20.2555155968	3.95931172906
3.5	48.537606498	20.4591373428	4.3094549432
3.55	49.5673507566	20.7209367306	4.01856673453
3.6	50.6145483078	20.8954696558	3.18360983929
3.65	51.661745859	20.992432392	3.15128892721
3.7	52.7089434102	21.1669653172	3.83541489944
3.75	53.7735942539	21.4190684314	3.83541489944
3.8	54.8556983902	21.5936013566	3.14590210853
3.85	55.9378025264	21.6905640928	3.14590210853
3.9	57.0199066627	21.865097018	3.83541489944
3.95	58.1194640914	22.1172001322	3.83541489944
4	59.2364748127	22.2917330574	3.14590210853
4.05	60.353485534	22.3886957936	3.14590210853
4.1	61.4704962552	22.5632287188	3.83541489944
4.15	62.604960269	22.815331833	3.83541489944
4.2	63.7568775754	22.9898647582	3.14590210853
4.25	64.9087948817	23.0868274944	3.14590210853
4.3	66.060712188	23.2613604196	3.82464126209
4.35	67.2300827868	23.5134635338	3.74922580058
4.4	68.4169066782	23.687996459	2.6934093395
4.45	69.6037305695	23.765566648	1.73994243331
4.5	70.7905544609	23.8625293842	0.759541433738
4.55	71.9948316448	23.8625293842	-0.447105950356
4.6	73.1816555361	23.7752629216	-0.846807896337
4.65	74.3684794275	23.7461741007	-0.668504198063
4.7	75.5553033188	23.7267815535	-0.761157479342
4.75	76.7421272102	23.6957534779	-1.28475625494
4.8	77.9289511015	23.5958818596	-1.81374184922
4.85	79.0983217004	23.4843747129	-2.08900828371
